x,y,radius
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
300,1,47.0107345581
298,1,61.0185394287
297,2,65.0308609009
296,3,68.5894546509
296,8,68.6232376099
295,26,68.807800293
293,39,68.78956604
294,55,68.6775054932
294,67,68.6947555542
294,71,68.2581710815
294,77,68.251625061
298,81,68.311882019
302,85,68.358795166
303,86,68.4889984131
303,83,68.5879821777
303,81,68.5947494507
303,78,68.6782608032
303,73,68.8368606567
303,68,70.0329284668
303,62,70.0145797729
302,58,70.0256576538
301,52,70.3050384521
301,49,70.3021011353
303,44,70.1198577881
304,42,70.3684692383
304,39,70.5716705322
304,33,70.3888168335
303,26,70.5953826904
302,23,70.4734420776
301,19,70.5187072754
299,13,70.7585601807
298,10,70.5671691895
296,6,70.7991104126
294,5,70.7143096924
293,2,71.0282592773
291,5,70.6771850586
289,5,70.6771850586
290,3,71.0863113403
290,5,70.6771850586
290,5,71.2128067017
290,9,71.3820266724
286,13,71.6576461792
287,20,71.9810028076
283,27,72.1479110718
283,35,72.1000900269
278,45,72.3880310059
278,52,72.5876464844
275,65,72.7681732178
270,82,71.2344284058
273,97,70.7616195679
267,117,70.4774856567
271,132,70.1599731445
266,151,69.9822158813
271,165,69.7849884033
268,182,69.9092025757
270,200,69.9657516479
275,220,70.078918457
273,235,70.263885498
278,246,70.414100647
276,253,70.4773406982
281,272,70.7777252197
281,284,71.2374954224
285,292,72.3571243286
286,299,72.1012191772
289,303,71.9111175537
288,307,72.0208358765
290,309,71.7242965698
291,312,71.5575408936
293,314,71.6318817139
293,313,71.5470809937
297,312,71.4975280762
298,311,71.3138656616
301,311,71.4100036621
302,310,71.2738647461
304,308,71.2030029297
309,307,71.2595367432
311,304,71.2798538208
313,299,71.0501785278
