X,Y
4.50304058,3.47986892
4.5285272,3.49169719
4.50509548,3.51356157
4.51639508,3.53832324
4.51470383,3.54249933
4.53566607,3.58106688
4.54349264,3.62081031
4.55286475,3.64548264
4.56953756,3.69865754
4.56581345,3.73738199
4.57879458,3.76548538
4.59171327,3.84405844
5.81647028,6.46151089
5.83737325,6.51119765
5.81903604,6.55744848
5.81165538,6.5592133
5.83025532,6.54110857
7.5588327,7.03059436
7.56505261,7.13350777
7.55133345,7.13440111
7.54955087,7.14472617
7.56939844,7.12005354
7.54001387,7.12194829
7.5527344,7.1148706
7.5444085,7.13801259
7.55425168,7.17668483
7.56446467,7.123038
7.55257058,7.14504035
7.56605565,7.11648714
7.57968235,7.11404307
7.5739995,7.12323868
7.58539531,7.11486047
7.58422506,7.11491627
7.57866008,7.11730906
7.58607127,7.14018497
7.57090795,7.16983954
7.58401311,7.1867223
7.57180643,7.19138612
7.57956637,7.19431253
7.58546817,7.17834359
7.57943279,7.1717417
7.58538695,7.13808636
7.58545947,7.12182365
7.58573489,7.10019516
7.57905093,7.08551806
7.57690536,7.09999496
7.57414321,7.09176126
7.57991337,7.09873937
7.56614645,7.08602301
7.56408942,7.09210188
7.56561706,7.07763858
7.56425912,7.10425753
7.56343924,7.09015786
7.57749431,7.10218682
7.57659962,7.10967162
7.56271007,7.10854637
7.56346319,7.11600821
7.56221562,7.10959725
7.56778956,7.10052434
7.55424266,7.11416454
7.55907434,7.10504498
7.56912795,7.12561118
7.55562115,7.12621159
7.52316717,7.11663735
7.53493557,7.12751286
7.53686226,7.12703174
7.51168468,7.1166478
7.52723418,7.12035396
7.57152155,7.11127332
7.62176459,7.11574052
7.6350338,7.11440438
7.68608755,7.11341803
7.70753741,7.11535763
7.73951779,7.11359968
7.74748408,7.1101667
7.74295296,7.11301817
7.7384311,7.11628825
7.72424343,7.10914091
7.71003881,7.10955365
7.67232272,7.10640141
7.66171607,7.11342713
7.65129924,7.10696082
7.64892922,7.11014251
7.63339312,7.10555245
7.62835276,7.10713771
7.58575581,7.09596347
7.53549538,7.10555084
7.48988274,7.08174989
7.47595014,7.08056097
7.48669708,7.09309701
7.51292991,7.10316162
7.49020213,7.09277084
7.52540956,7.10343371
7.51515888,7.10489997
7.53940033,7.10227641
7.50715167,7.09422562
7.53925329,7.1064598
7.48755622,7.09277621
7.53993021,7.11255084
7.52752081,7.10589857
7.52969691,7.11025117
7.53972628,7.11003019
7.53185507,7.110312
7.54531402,7.11318843
7.53204062,7.1131524
7.56413873,7.11661206
7.55758154,7.12927438
7.56314362,7.12999223
7.5749344,7.13024339
7.55223564,7.12451107
7.57479277,7.1329974
7.55538086,7.12655387
7.57191776,7.12768383
7.57058062,7.12363242
7.57779498,7.12852055
7.57016374,7.1176043
7.58089947,7.07504753
7.55931276,7.04696948
7.5492264,7.01482465
7.53774424,6.99891422
7.52249376,6.9885624
7.50180169,6.98333881
7.49438646,6.98465073
7.49146889,6.98475954
7.49838579,6.99794013
7.50560855,7.00935404
7.53989151,7.05238393
7.56047654,7.07812379
7.59336837,7.13517507
7.60325119,7.14828194
7.58108365,7.13742754
7.57844807,7.13526061
7.56734262,7.1268694
7.56804786,7.12861255
7.5614771,7.11606751
7.55356648,7.11133069
7.54057238,7.10269305
7.53906802,7.10360434
7.53868713,7.09886317
7.53924982,7.09847606
7.53192606,7.09552797
7.53128945,7.09349597
7.53718456,7.0811032
7.52460848,7.08379475
7.52064751,7.07979718
7.5162166,7.06891637
7.50653304,7.06493242
7.50182554,7.05599866
7.49362235,7.04192136
7.48943101,7.04712926
7.48943078,7.03787061
7.46365256,7.01775008
7.46084983,6.9945724
7.43946669,6.9574171
7.4307261,6.94355765
5.78082594,6.54788977
5.79798884,6.53000247
5.79497305,6.5320549
5.81129209,6.50500373
5.79254141,6.47202499
5.80713467,6.39531149
4.4640423,3.72190236
4.49246981,3.58954429
4.46381752,3.44042379
4.50447049,3.41411545
4.49897865,3.4348547
4.49812822,3.41592458
4.46897926,3.4426139
4.5077009,3.41810612
4.48107815,3.44250783
4.50631152,3.43873766
4.49602061,3.44807411
4.50638125,3.44592796
4.48644081,3.44057969
4.49207772,3.44596651
4.50570242,3.44466248
4.4890926,3.44523139
4.50682539,3.45196547
4.49695911,3.44514483
4.49923117,3.44983967
4.50173367,3.45886345
4.48329697,3.44928126
4.4922163,3.45765246
4.49376733,3.45826529
4.48866372,3.45306862
4.49116646,3.44892544
4.47241788,3.45571593
4.48309842,3.45548808
4.46838118,3.44789771
4.47409019,3.45384709
4.45221088,3.44969397
4.42759368,3.44548719
4.41548583,3.44321172
4.42839731,3.453273
4.39705745,3.45011462
4.28770314,3.45062339
4.20807648,3.46235068
4.12976418,3.4767655
1.38668448,2.59745029
1.35643204,2.52133978
1.38755108,2.50047558
1.38557874,2.50118338
1.36559584,2.52259934
1.40070569,2.50077482
1.40453369,2.49941372
1.41612445,2.4963614
1.39933567,2.49748759
1.41927181,2.49501181
1.42171969,2.49162355
1.4256495,2.49436441
1.43797373,2.49431017
1.43809393,2.49249784
1.43784886,2.49451385
1.43905359,2.47892908
1.4457727,2.50149946
1.43697454,2.50345184
1.43681345,2.50491314
1.43775022,2.51645949
1.4269041,2.50615546
1.4268412,2.51631553
1.41406533,2.52412546
1.4120697,2.52580747
1.42746147,2.5243836
1.41452028,2.49398257
1.41768839,2.51788762
1.40764333,2.50473123
1.40858804,2.52246034
1.41974664,2.50662254
1.40268399,2.49938272
1.40379223,2.51811846
1.41102977,2.46937426
1.4052466,2.46956908
1.40506166,2.4344265
1.40563756,2.51501724
1.4019478,2.53215015
1.39918021,2.52433788
1.40018516,2.54387735
1.40381717,2.5344637
1.39858461,2.53190198
1.40148153,2.52747817
1.39942128,2.52439987
1.39806304,2.53059337
1.40320222,2.52731978
1.40457564,2.525954
1.40193656,2.52563108
1.40305952,2.52569364
1.40234076,2.52884316
1.40415067,2.52524246
1.40388781,2.52366509
1.40177167,2.51185547
1.40116502,2.52208873
1.40278483,2.52108671
1.40027585,2.52111176
1.40300618,2.51754126
1.40651344,2.51739923
1.40523524,2.52719518
1.40846752,2.51374557
1.40977553,2.52689702
1.40927074,2.52726309
1.41166417,2.52791427
1.41213821,2.52033371
1.41331956,2.53161048
1.41662157,2.53288854
1.42127541,2.5368233
1.42232354,2.53476938
1.42512777,2.53474277
1.42835132,2.51181599
1.4257171,2.50002736
1.42872421,2.47325668
1.4291412,2.45833002
1.42574976,2.45262094
1.42698749,2.45253619
1.42704122,2.46405191
1.42782216,2.4721679
1.42790825,2.49401659
1.43167552,2.49818479
1.42949661,2.53932347
1.42746335,2.54626611
1.43065783,2.55403711
1.42783511,2.5564427
1.42399685,2.54931265
1.41797372,2.5652255
1.41877023,2.54370563
1.41863277,2.53649743
1.41461374,2.54771981
1.41453908,2.54393823
1.41124604,2.54330198
1.4102714,2.53293883
1.40787294,2.5469224
1.40627048,2.53503883
1.40795925,2.5253843
1.408278,2.54435786
1.40692,2.54006837
1.40652455,2.54079358
1.40862253,2.53728438
1.40751965,2.53439648
1.412702,2.53547966
1.41311548,2.52282269
1.41564701,2.58466794
1.41497336,2.60743214
1.40195025,2.62824772
1.39899924,2.61603658
1.39619325,2.61726059
1.3986842,2.6091381
1.39804525,2.60845594
1.39950283,2.62217225
2.16389957,7.18507178
2.14027321,7.20557251
2.12554984,7.21154292
2.12565652,7.22628755
2.12425893,7.24394007
2.12786164,7.26037573
2.12585495,7.27560309
2.13307883,7.27680138
2.13253271,7.28391467
2.13548073,7.2757059
2.13370527,7.26991259
2.13358561,7.26311387
2.1383712,7.24845443
2.14671253,7.2340579
2.15730603,7.21442998
2.1608346,7.21200747
2.17800064,7.18947714
2.1981685,7.17394609
2.21175977,7.18111435
2.19924126,7.1905859
2.19966629,7.19908924
2.19341614,7.21360252
2.18284355,7.23063551
2.17849688,7.2590073
2.18464839,7.27232561
2.1852538,7.29390613
2.20031373,7.31767633
2.21695422,7.35055531
2.24133962,7.35234072
2.23885463,7.3422048
2.24738961,7.33497893
2.23884843,7.34368692
2.25041201,7.33993855
2.23927948,7.3483086
2.23669312,7.33896999
2.23879195,7.34861344
2.23044331,7.33556928
2.2410851,7.32672133
0.62679775,8.2999301
0.63499404,8.31228941
0.63009349,8.32011329
0.63014176,8.32124602
0.62496056,8.32567185
0.62879544,8.32138116
0.62441975,8.32584847
0.62832873,8.32996869
0.62852846,8.32967113
0.62521305,8.31382454
2.24451965,7.31741415
2.23567359,7.31717789
